Winner,Loser,Winner Points,Loser points,OTs,Coach Tourney Appearances  Winner,SRS  Winner,FG% Winner,RPI Winner,Adj Off Efficiency Winner,Adj Def Efficiency Winner,Adj Off-Def Winner,Strength of Schedule Winner,Win % Winner,Coach sweet 16 appearances Winner,Avg. Scoring margin Winner,Major Conference Winner,Turnovers per game Winner,Wins Last 10 Games  Winner,Coach Record Winner,Seed Winner,Points Allowed Per Game Winner,Coach final four appearance Winner,Won a Major Conference Winner,Rebounds Winner,Coach Tourney Appearances  Loser,SRS  Loser,FG% Loser,RPI Loser,Adj Off Efficiency Loser,Adj Def Efficiency Loser,Adj Off-Def Loser,Strength of Schedule Loser,Win % Loser,Coach sweet 16 appearances Loser,Avg. Scoring margin Loser,Major Conference Loser,Turnovers per game Loser,Wins Last 10 Games  Loser,Coach Record Loser,Seed Loser,Points Allowed Per Game Loser,Coach final four appearance Loser,Won a Major Conference Loser,Rebounds Loser
Syracuse,MTSU,75,50,0,32.00,9.44,42.70,0.56,109.40,96.40,13.00,0.56,0.59,17.00,4.50,1.00,12.10,5.00,0.74,10.00,65.70,0.00,0.00,35.30,0.00,-4.33,45.10,0.56,102.20,99.00,3.20,0.50,0.73,0.00,4.40,0.00,12.10,7.00,0.61,15.00,69.50,4.00,0.00,36.30
Texas A&M,Northern Iowa,92,88,2,3.00,2.03,44.90,0.61,112.60,93.70,18.90,0.56,0.61,0.00,10.40,1.00,11.80,8.00,0.55,3.00,65.50,1.00,0.00,38.90,4.00,0.93,45.70,0.56,105.70,97.20,8.50,0.53,0.65,1.00,5.10,0.00,9.80,9.00,0.65,11.00,62.90,0.00,0.00,29.70
Villanova,Iowa,87,68,0,13.00,9.60,46.70,0.65,107.20,93.00,14.20,0.59,0.85,4.00,13.30,0.00,11.10,8.00,0.66,2.00,63.70,0.00,0.00,35.60,8.00,11.16,45.00,0.59,114.40,95.90,18.50,0.57,0.68,0.00,9.40,1.00,10.40,4.00,0.58,7.00,68.70,0.00,0.00,38.40
Wisconsin,Xavier,66,63,0,15.00,8.20,43.00,0.58,110.00,95.30,14.70,0.58,0.63,0.00,4.30,1.00,11.00,7.00,0.65,7.00,64.60,2.00,0.00,34.90,6.00,5.19,45.20,0.63,115.80,96.20,19.60,0.57,0.84,3.00,10.30,0.00,12.80,7.00,0.68,2.00,71.00,0.00,0.00,40.90
Duke,Yale,71,64,0,32.00,15.79,45.90,0.61,119.30,100.70,18.60,0.59,0.70,22.00,9.40,1.00,9.90,6.00,0.73,4.00,72.10,12.00,0.00,36.30,1.00,-6.93,47.10,0.58,108.00,95.00,13.00,0.49,0.79,0.00,12.00,0.00,13.40,9.00,0.52,12.00,63.50,0.00,0.00,40.30
Iowa State,Ark Little Rock,78,61,0,2.00,6.41,50.20,0.60,120.50,100.30,20.20,0.59,0.68,0.00,6.90,1.00,11.60,5.00,0.76,4.00,75.00,0.00,0.00,36.10,1.00,-3.03,45.80,0.58,108.30,96.10,12.20,0.47,0.88,0.00,11.30,0.00,10.50,8.00,0.88,12.00,60.10,0.00,0.00,32.90
Kansas,Connecticut,73,61,0,18.00,15.38,49.40,0.67,118.90,92.00,26.90,0.60,0.88,10.00,13.80,1.00,12.60,10.00,0.76,1.00,67.60,0.00,1.00,37.30,2.00,6.39,45.90,0.59,110.40,93.70,16.70,0.56,0.71,1.00,10.30,1.00,11.10,7.00,0.69,9.00,63.10,0.00,0.00,36.40
Indiana,Kentucky,73,67,0,9.00,13.96,50.10,0.60,119.00,98.70,20.30,0.54,0.78,3.00,13.40,1.00,13.70,7.00,0.61,5.00,68.90,0.00,0.00,37.40,17.00,17.52,47.90,0.63,122.30,98.90,23.40,0.57,0.77,12.00,11.40,1.00,11.10,8.00,0.78,4.00,68.30,2.00,1.00,38.70
Miami (FL),Wichita State,65,57,0,7.00,2.62,47.70,0.63,117.20,97.10,20.10,0.58,0.78,2.00,8.80,1.00,10.70,7.00,0.61,3.00,66.80,0.00,0.00,35.00,12.00,5.53,43.40,0.58,108.90,89.90,19.00,0.53,0.75,2.00,14.00,0.00,9.90,7.00,0.72,11.00,59.40,1.00,0.00,37.50
North Carolina,Providence,85,66,0,26.00,15.52,47.90,0.64,119.50,94.00,25.50,0.58,0.82,16.00,12.80,1.00,10.90,8.00,0.79,1.00,69.60,7.00,1.00,41.00,3.00,7.28,42.20,0.58,107.90,95.70,12.20,0.56,0.70,0.00,4.20,0.00,11.50,5.00,0.59,9.00,69.70,0.00,0.00,36.60
Gonzaga,Utah,82,59,0,17.00,1.99,48.60,0.58,114.80,97.80,17.00,0.52,0.79,5.00,13.50,0.00,11.30,8.00,0.81,11.00,66.80,0.00,0.00,39.40,4.00,8.07,48.90,0.63,113.70,97.50,16.20,0.59,0.77,1.00,8.50,1.00,12.30,9.00,0.60,3.00,69.00,0.00,0.00,36.90
Virginia,Butler,77,69,0,6.00,6.03,48.70,0.65,118.30,91.90,26.40,0.60,0.79,2.00,10.70,1.00,9.40,7.00,0.69,1.00,59.70,1.00,0.00,31.90,2.00,1.10,46.60,0.57,115.60,101.80,13.80,0.55,0.68,0.00,9.40,0.00,10.20,7.00,0.54,9.00,71.20,0.00,0.00,36.50
Hawaii,California,77,66,0,1.00,2.47,46.20,0.55,107.00,96.60,10.40,0.47,0.84,0.00,11.10,0.00,13.20,8.00,0.81,13.00,66.30,0.00,0.00,37.30,2.00,16.36,46.10,0.61,111.30,93.80,17.50,0.59,0.70,1.00,8.10,1.00,12.20,8.00,0.61,4.00,67.00,0.00,0.00,39.80
Syracuse,Dayton,70,51,0,32.00,9.44,42.70,0.56,109.40,96.40,13.00,0.56,0.59,17.00,4.50,1.00,12.10,5.00,0.74,10.00,65.70,0.00,0.00,35.30,3.00,6.75,46.00,0.60,104.70,93.80,10.90,0.56,0.78,1.00,7.40,0.00,13.10,6.00,0.68,7.00,65.80,0.00,0.00,38.70
Iowa,Temple,72,70,1,8.00,11.16,45.00,0.59,114.40,95.90,18.50,0.57,0.68,0.00,9.40,1.00,10.40,4.00,0.58,7.00,68.70,0.00,0.00,38.40,16.00,6.40,40.50,0.57,105.10,97.50,7.60,0.55,0.66,0.00,1.20,0.00,9.20,7.00,0.65,10.00,67.40,0.00,0.00,36.70
Maryland,South Dakota State,79,74,0,7.00,9.76,48.80,0.61,113.80,96.30,17.50,0.57,0.76,1.00,9.80,1.00,12.90,5.00,0.63,5.00,66.40,6.00,0.00,36.10,3.00,1.19,45.10,0.59,109.10,100.50,8.60,0.51,0.79,0.00,8.50,0.00,11.90,8.00,0.54,12.00,68.80,0.00,0.00,37.50
MTSU,Michigan State,90,81,0,0.00,-4.33,45.10,0.56,102.20,99.00,3.20,0.50,0.73,0.00,4.40,0.00,12.10,7.00,0.61,15.00,69.50,4.00,0.00,36.30,19.00,11.20,48.40,0.63,121.30,98.90,22.40,0.56,0.85,13.00,16.40,1.00,11.80,9.00,0.72,2.00,63.40,1.00,1.00,41.90
Notre Dame,Michigan,70,63,0,13.00,9.92,47.10,0.59,117.80,103.70,14.10,0.57,0.66,2.00,5.10,1.00,9.70,6.00,0.67,6.00,70.60,7.00,0.00,36.10,10.00,10.31,46.60,0.57,112.70,101.00,11.70,0.56,0.65,4.00,6.80,1.00,9.80,5.00,0.62,2.00,68.20,1.00,0.00,32.00
Oklahoma,CS Bakersfield,82,68,0,17.00,9.38,45.90,0.64,115.40,93.30,22.10,0.59,0.78,4.00,10.00,1.00,13.00,6.00,0.62,2.00,70.40,0.00,0.00,38.80,4.00,-5.59,45.10,0.53,102.30,95.40,6.90,0.45,0.75,1.00,9.80,0.00,12.20,9.00,0.50,15.00,63.30,1.00,0.00,38.10
Oregon,Holy Cross,91,52,0,12.00,5.48,46.70,0.66,119.40,97.40,22.00,0.60,0.82,1.00,9.70,1.00,11.60,8.00,0.65,1.00,69.40,0.00,1.00,35.80,3.00,-1.60,41.30,0.46,97.00,105.80,-8.80,0.45,0.42,0.00,-4.30,0.00,11.00,5.00,0.54,16.00,69.70,0.00,0.00,30.20
VCU,Oregon State,75,67,0,1.00,4.89,45.00,0.58,108.80,95.00,13.80,0.55,0.71,0.00,9.90,0.00,11.40,7.00,0.65,10.00,67.30,0.00,0.00,37.40,4.00,6.21,44.10,0.59,109.30,98.40,10.90,0.59,0.61,0.00,2.10,1.00,11.50,6.00,0.62,7.00,70.60,1.00,0.00,34.60
St. Josephs,Cincinnati,78,76,0,7.00,4.12,45.40,0.61,112.90,99.20,13.70,0.55,0.79,0.00,7.70,0.00,10.10,7.00,0.60,8.00,69.90,0.00,0.00,38.60,8.00,11.40,42.80,0.58,107.70,93.10,14.60,0.55,0.69,1.00,10.30,0.00,11.10,6.00,0.65,9.00,62.90,0.00,0.00,39.40
Northern Iowa,Texas,75,72,0,4.00,0.93,45.70,0.56,105.70,97.20,8.50,0.53,0.65,1.00,5.10,0.00,9.80,9.00,0.65,11.00,62.90,0.00,0.00,29.70,6.00,5.87,43.20,0.59,111.50,96.00,15.50,0.60,0.63,1.00,3.30,1.00,10.40,5.00,0.73,6.00,68.10,0.00,0.00,34.60
Texas A&M,WI Green Bay,92,65,0,3.00,2.03,44.90,0.61,112.60,93.70,18.90,0.56,0.61,0.00,10.40,1.00,11.80,8.00,0.55,3.00,65.50,1.00,0.00,38.90,1.00,-0.02,44.80,0.53,107.70,103.20,4.50,0.48,0.66,0.00,4.60,0.00,12.10,8.00,0.66,14.00,64.60,2.00,0.00,38.60
Villanova,UNC Asheville,86,56,0,13.00,9.60,46.70,0.65,107.20,93.00,14.20,0.59,0.85,4.00,13.30,0.00,11.10,8.00,0.66,2.00,63.70,0.00,0.00,35.60,1.00,-9.99,45.80,0.52,102.50,98.20,4.30,0.47,0.65,0.00,8.20,0.00,13.00,7.00,0.56,15.00,69.00,0.00,0.00,37.00
SF Austin,West Virginia,70,56,0,3.00,-6.09,48.40,0.56,110.40,95.70,14.70,0.47,0.84,0.00,17.60,0.00,12.40,10.00,0.87,14.00,64.20,0.00,0.00,33.70,22.00,6.63,45.20,0.63,114.80,92.40,22.40,0.59,0.77,7.00,12.60,1.00,14.00,7.00,0.71,3.00,66.60,0.00,0.00,39.20
Wisconsin,Pittsburgh,47,43,0,15.00,8.20,43.00,0.58,110.00,95.30,14.70,0.58,0.63,0.00,4.30,1.00,11.00,7.00,0.65,7.00,64.60,2.00,0.00,34.90,11.00,5.18,46.00,0.58,112.70,99.80,12.90,0.57,0.66,3.00,8.10,1.00,11.70,4.00,0.73,10.00,68.70,0.00,0.00,37.60
Wichita State,Arizona,65,55,0,12.00,5.53,43.40,0.58,108.90,89.90,19.00,0.53,0.75,2.00,14.00,0.00,9.90,7.00,0.72,11.00,59.40,1.00,0.00,37.50,9.00,8.53,48.20,0.60,116.10,96.50,19.60,0.55,0.76,6.00,12.20,1.00,12.80,7.00,0.74,6.00,69.00,0.00,0.00,40.30
Yale,Baylor,79,75,0,1.00,-6.93,47.10,0.58,108.00,95.00,13.00,0.49,0.79,0.00,12.00,0.00,13.40,9.00,0.52,12.00,63.50,0.00,0.00,40.30,6.00,0.72,46.70,0.60,116.90,99.00,17.90,0.59,0.67,3.00,7.90,1.00,12.90,5.00,0.60,5.00,69.60,0.00,0.00,36.80
Connecticut,Colorado,74,67,0,2.00,6.39,45.90,0.59,110.40,93.70,16.70,0.56,0.71,1.00,10.30,1.00,11.10,7.00,0.69,9.00,63.10,0.00,0.00,36.40,4.00,4.81,42.60,0.59,106.60,95.50,11.10,0.56,0.67,0.00,5.30,1.00,13.40,5.00,0.56,8.00,70.70,0.00,0.00,42.30
Duke,UNC Wilmington,93,85,0,32.00,15.79,45.90,0.61,119.30,100.70,18.60,0.59,0.70,22.00,9.40,1.00,9.90,6.00,0.73,4.00,72.10,12.00,0.00,36.30,1.00,-2.77,45.60,0.58,109.40,100.40,9.00,0.51,0.77,0.00,7.80,0.00,11.40,8.00,0.67,13.00,71.70,0.00,0.00,37.20
Indiana,Chattanooga,99,74,0,9.00,13.96,50.10,0.60,119.00,98.70,20.30,0.54,0.78,3.00,13.40,1.00,13.70,7.00,0.61,5.00,68.90,0.00,0.00,37.40,1.00,-2.28,45.60,0.57,105.10,99.40,5.70,0.48,0.85,0.00,9.20,0.00,12.40,8.00,0.85,12.00,67.10,0.00,0.00,35.40
Iowa State,Iona,94,81,0,2.00,6.41,50.20,0.60,120.50,100.30,20.20,0.59,0.68,0.00,6.90,1.00,11.60,5.00,0.76,4.00,75.00,0.00,0.00,36.10,3.00,-4.25,45.60,0.56,110.40,101.20,9.20,0.50,0.78,0.00,5.90,0.00,12.80,9.00,0.69,13.00,73.70,1.00,0.00,36.90
Kansas,Austin Peay,105,79,0,18.00,15.38,49.40,0.67,118.90,92.00,26.90,0.60,0.88,10.00,13.80,1.00,12.60,10.00,0.76,1.00,67.60,0.00,1.00,37.30,4.00,-5.60,46.30,0.49,104.40,108.90,-4.50,0.48,0.51,0.00,0.10,0.00,14.00,8.00,0.51,16.00,77.10,0.00,0.00,35.90
Kentucky,Stony Brook,85,57,0,17.00,17.52,47.90,0.63,122.30,98.90,23.40,0.57,0.77,12.00,11.40,1.00,11.10,8.00,0.78,4.00,68.30,2.00,1.00,38.70,1.00,-6.94,47.70,0.57,105.80,98.40,7.40,0.48,0.81,0.00,13.40,0.00,11.40,8.00,0.55,13.00,65.20,0.00,0.00,38.30
Miami (FL),Buffalo,79,72,0,7.00,2.62,47.70,0.63,117.20,97.10,20.10,0.58,0.78,2.00,8.80,1.00,10.70,7.00,0.61,3.00,66.80,0.00,0.00,35.00,1.00,-6.51,43.80,0.55,105.10,102.50,2.60,0.54,0.59,0.00,2.40,0.00,13.70,6.00,0.59,14.00,75.90,0.00,0.00,38.90
North Carolina,Florida Gulf Coast,83,67,0,26.00,15.52,47.90,0.64,119.50,94.00,25.50,0.58,0.82,16.00,12.80,1.00,10.90,8.00,0.79,1.00,69.60,7.00,1.00,41.00,1.00,-2.57,47.70,0.47,102.70,103.80,-1.10,0.46,0.61,0.00,2.70,0.00,12.30,7.00,0.58,16.00,72.90,0.00,0.00,39.40
Ark Little Rock,Purdue,85,83,2,1.00,-3.03,45.80,0.58,108.30,96.10,12.20,0.47,0.88,0.00,11.30,0.00,10.50,8.00,0.88,12.00,60.10,0.00,0.00,32.90,9.00,11.34,47.20,0.61,115.30,94.50,20.80,0.57,0.77,2.00,13.10,1.00,11.90,7.00,0.66,5.00,64.60,0.00,0.00,40.90
Gonzaga,Seton Hall,68,52,0,17.00,1.99,48.60,0.58,114.80,97.80,17.00,0.52,0.79,5.00,13.50,0.00,11.30,8.00,0.81,11.00,66.80,0.00,0.00,39.40,1.00,3.04,45.00,0.60,110.70,94.00,16.70,0.56,0.76,0.00,7.10,0.00,13.80,8.00,0.52,6.00,67.80,0.00,0.00,40.00
Providence,USC,70,69,0,3.00,7.28,42.20,0.58,107.90,95.70,12.20,0.56,0.70,0.00,4.20,0.00,11.50,5.00,0.59,9.00,69.70,0.00,0.00,36.60,2.00,7.71,45.70,0.58,112.40,99.90,12.50,0.57,0.64,1.00,6.10,1.00,14.00,3.00,0.51,8.00,74.80,0.00,0.00,39.50
Butler,Texas Tech,71,61,0,2.00,1.10,46.60,0.57,115.60,101.80,13.80,0.55,0.68,0.00,9.40,0.00,10.20,7.00,0.54,9.00,71.20,0.00,0.00,36.50,18.00,3.52,44.70,0.59,113.50,100.10,13.40,0.59,0.59,9.00,2.50,1.00,12.00,7.00,0.67,8.00,69.80,0.00,0.00,34.10
Utah,Fresno State,80,69,0,4.00,8.07,48.90,0.63,113.70,97.50,16.20,0.59,0.77,1.00,8.50,1.00,12.30,9.00,0.60,3.00,69.00,0.00,0.00,36.90,1.00,5.26,43.40,0.56,106.20,100.30,5.90,0.51,0.74,0.00,4.90,0.00,10.70,9.00,0.51,14.00,71.20,0.00,0.00,37.00
Virginia,Hampton,81,45,0,6.00,6.03,48.70,0.65,118.30,91.90,26.40,0.60,0.79,2.00,10.70,1.00,9.40,7.00,0.69,1.00,59.70,1.00,0.00,31.90,3.00,-8.80,41.50,0.50,99.90,104.80,-4.90,0.44,0.68,0.00,0.90,0.00,14.00,8.00,0.53,16.00,74.10,0.00,0.00,41.30
