Winner,Loser,Winner Points,Loser points,OTs,Coach Tourney Appearances  Winner,SRS  Winner,FG% Winner,RPI Winner,Adj Off Efficiency Winner,Adj Def Efficiency Winner,Adj Off-Def Winner,Strength of Schedule Winner,Win % Winner,Coach sweet 16 appearances Winner,Avg. Scoring margin Winner,Major Conference Winner,Turnovers per game Winner,Wins Last 10 Games  Winner,Coach Record Winner,Seed Winner,Points Allowed Per Game Winner,Coach final four appearance Winner,Won a Major Conference Winner,Rebounds Winner,Coach Tourney Appearances  Loser,SRS  Loser,FG% Loser,RPI Loser,Adj Off Efficiency Loser,Adj Def Efficiency Loser,Adj Off-Def Loser,Strength of Schedule Loser,Win % Loser,Coach sweet 16 appearances Loser,Avg. Scoring margin Loser,Major Conference Loser,Turnovers per game Loser,Wins Last 10 Games  Loser,Coach Record Loser,Seed Loser,Points Allowed Per Game Loser,Coach final four appearance Loser,Won a Major Conference Loser,Rebounds Loser
North Carolina,Syracuse,83,66,0,26.00,15.52,47.90,0.64,119.50,94.00,25.50,0.58,0.82,16.00,12.80,1.00,10.90,8.00,0.79,1.00,69.60,7.00,1.00,41.00,32.00,9.44,42.70,0.56,109.40,96.40,13.00,0.56,0.59,17.00,4.50,1.00,12.10,5.00,0.74,10.00,65.70,0.00,0.00,35.30
Villanova,North Carolina,77,74,0,13.00,9.60,46.70,0.65,107.20,93.00,14.20,0.59,0.85,4.00,13.30,0.00,11.10,8.00,0.66,2.00,63.70,0.00,0.00,35.60,26.00,15.52,47.90,0.64,119.50,94.00,25.50,0.58,0.82,16.00,12.80,1.00,10.90,8.00,0.79,1.00,69.60,7.00,1.00,41.00
North Carolina,Syracuse,83,66,0,26.00,15.52,47.90,0.64,119.50,94.00,25.50,0.58,0.82,16.00,12.80,1.00,10.90,8.00,0.79,1.00,69.60,7.00,1.00,41.00,32.00,9.44,42.70,0.56,109.40,96.40,13.00,0.56,0.59,17.00,4.50,1.00,12.10,5.00,0.74,10.00,65.70,0.00,0.00,35.30
Villanova,Oklahoma,95,51,0,13.00,9.60,46.70,0.65,107.20,93.00,14.20,0.59,0.85,4.00,13.30,0.00,11.10,8.00,0.66,2.00,63.70,0.00,0.00,35.60,17.00,9.38,45.90,0.64,115.40,93.30,22.10,0.59,0.78,4.00,10.00,1.00,13.00,6.00,0.62,2.00,70.40,0.00,0.00,38.80
North Carolina,Notre Dame,88,74,0,26.00,15.52,47.90,0.64,119.50,94.00,25.50,0.58,0.82,16.00,12.80,1.00,10.90,8.00,0.79,1.00,69.60,7.00,1.00,41.00,13.00,9.92,47.10,0.59,117.80,103.70,14.10,0.57,0.66,2.00,5.10,1.00,9.70,6.00,0.67,6.00,70.60,7.00,0.00,36.10
Syracuse,Virginia,68,62,0,32.00,9.44,42.70,0.56,109.40,96.40,13.00,0.56,0.59,17.00,4.50,1.00,12.10,5.00,0.74,10.00,65.70,0.00,0.00,35.30,6.00,6.03,48.70,0.65,118.30,91.90,26.40,0.60,0.79,2.00,10.70,1.00,9.40,7.00,0.69,1.00,59.70,1.00,0.00,31.90
Villanova,Kansas,64,59,0,13.00,9.60,46.70,0.65,107.20,93.00,14.20,0.59,0.85,4.00,13.30,0.00,11.10,8.00,0.66,2.00,63.70,0.00,0.00,35.60,18.00,15.38,49.40,0.67,118.90,92.00,26.90,0.60,0.88,10.00,13.80,1.00,12.60,10.00,0.76,1.00,67.60,0.00,1.00,37.30
Oklahoma,Oregon,80,68,0,17.00,9.38,45.90,0.64,115.40,93.30,22.10,0.59,0.78,4.00,10.00,1.00,13.00,6.00,0.62,2.00,70.40,0.00,0.00,38.80,12.00,5.48,46.70,0.66,119.40,97.40,22.00,0.60,0.82,1.00,9.70,1.00,11.60,8.00,0.65,1.00,69.40,0.00,1.00,35.80
North Carolina,Indiana,101,86,0,26.00,15.52,47.90,0.64,119.50,94.00,25.50,0.58,0.82,16.00,12.80,1.00,10.90,8.00,0.79,1.00,69.60,7.00,1.00,41.00,9.00,13.96,50.10,0.60,119.00,98.70,20.30,0.54,0.78,3.00,13.40,1.00,13.70,7.00,0.61,5.00,68.90,0.00,0.00,37.40
Notre Dame,Wisconsin,61,56,0,13.00,9.92,47.10,0.59,117.80,103.70,14.10,0.57,0.66,2.00,5.10,1.00,9.70,6.00,0.67,6.00,70.60,7.00,0.00,36.10,15.00,8.20,43.00,0.58,110.00,95.30,14.70,0.58,0.63,0.00,4.30,1.00,11.00,7.00,0.65,7.00,64.60,2.00,0.00,34.90
Syracuse,Gonzaga,63,60,0,32.00,9.44,42.70,0.56,109.40,96.40,13.00,0.56,0.59,17.00,4.50,1.00,12.10,5.00,0.74,10.00,65.70,0.00,0.00,35.30,17.00,1.99,48.60,0.58,114.80,97.80,17.00,0.52,0.79,5.00,13.50,0.00,11.30,8.00,0.81,11.00,66.80,0.00,0.00,39.40
Virginia,Iowa State,84,71,0,6.00,6.03,48.70,0.65,118.30,91.90,26.40,0.60,0.79,2.00,10.70,1.00,9.40,7.00,0.69,1.00,59.70,1.00,0.00,31.90,2.00,6.41,50.20,0.60,120.50,100.30,20.20,0.59,0.68,0.00,6.90,1.00,11.60,5.00,0.76,4.00,75.00,0.00,0.00,36.10
Kansas,Maryland,79,63,0,18.00,15.38,49.40,0.67,118.90,92.00,26.90,0.60,0.88,10.00,13.80,1.00,12.60,10.00,0.76,1.00,67.60,0.00,1.00,37.30,7.00,9.76,48.80,0.61,113.80,96.30,17.50,0.57,0.76,1.00,9.80,1.00,12.90,5.00,0.63,5.00,66.40,6.00,0.00,36.10
Oklahoma,Texas A&M,77,63,0,17.00,9.38,45.90,0.64,115.40,93.30,22.10,0.59,0.78,4.00,10.00,1.00,13.00,6.00,0.62,2.00,70.40,0.00,0.00,38.80,3.00,2.03,44.90,0.61,112.60,93.70,18.90,0.56,0.61,0.00,10.40,1.00,11.80,8.00,0.55,3.00,65.50,1.00,0.00,38.90
Oregon,Duke,82,68,0,12.00,5.48,46.70,0.66,119.40,97.40,22.00,0.60,0.82,1.00,9.70,1.00,11.60,8.00,0.65,1.00,69.40,0.00,1.00,35.80,32.00,15.79,45.90,0.61,119.30,100.70,18.60,0.59,0.70,22.00,9.40,1.00,9.90,6.00,0.73,4.00,72.10,12.00,0.00,36.30
Villanova,Miami (FL),92,69,0,13.00,9.60,46.70,0.65,107.20,93.00,14.20,0.59,0.85,4.00,13.30,0.00,11.10,8.00,0.66,2.00,63.70,0.00,0.00,35.60,7.00,2.62,47.70,0.63,117.20,97.10,20.10,0.58,0.78,2.00,8.80,1.00,10.70,7.00,0.61,3.00,66.80,0.00,0.00,35.00
Maryland,Hawaii,73,60,0,7.00,9.76,48.80,0.61,113.80,96.30,17.50,0.57,0.76,1.00,9.80,1.00,12.90,5.00,0.63,5.00,66.40,6.00,0.00,36.10,1.00,2.47,46.20,0.55,107.00,96.60,10.40,0.47,0.84,0.00,11.10,0.00,13.20,8.00,0.81,13.00,66.30,0.00,0.00,37.30
Notre Dame,SF Austin,76,75,0,13.00,9.92,47.10,0.59,117.80,103.70,14.10,0.57,0.66,2.00,5.10,1.00,9.70,6.00,0.67,6.00,70.60,7.00,0.00,36.10,3.00,-6.09,48.40,0.56,110.40,95.70,14.70,0.47,0.84,0.00,17.60,0.00,12.40,10.00,0.87,14.00,64.20,0.00,0.00,33.70
Oklahoma,VCU,85,81,0,17.00,9.38,45.90,0.64,115.40,93.30,22.10,0.59,0.78,4.00,10.00,1.00,13.00,6.00,0.62,2.00,70.40,0.00,0.00,38.80,1.00,4.89,45.00,0.58,108.80,95.00,13.80,0.55,0.71,0.00,9.90,0.00,11.40,7.00,0.65,10.00,67.30,0.00,0.00,37.40
Oregon,St. Josephs,69,64,0,12.00,5.48,46.70,0.66,119.40,97.40,22.00,0.60,0.82,1.00,9.70,1.00,11.60,8.00,0.65,1.00,69.40,0.00,1.00,35.80,7.00,4.12,45.40,0.61,112.90,99.20,13.70,0.55,0.79,0.00,7.70,0.00,10.10,7.00,0.60,8.00,69.90,0.00,0.00,38.60
