Schl,Opp,PTS,OPP Points,OT
Villanova,Michigan,79,62,
Michigan,Loyola Chicago,69,57,
Villanova,Kansas,95,79,
Villanova,Texas Tech,71,59,
Kansas,Duke,85,81,1
Loyola Chicago,Kansas St,78,62,
Michigan,Florida St,58,54,
Kansas,Clemson,80,76,
Villanova,West Virginia,90,78,
Duke,Syracuse,69,65,
Texas Tech,Purdue,78,65,
Michigan,Texas A&M,99,72,
Loyola Chicago,Nevada,69,68,
Kansas St,Kentucky,61,58,
Florida St,Gonzaga,75,60,
Purdue,Butler,76,73,
Syracuse,Michigan State,55,53,
Texas A&M,North Carolina,86,65,
Nevada,Cincinnati,75,73,
Clemson,Auburn,84,53,
Kansas St,UMBC,50,43,
Florida St,Xavier,75,70,
West Virginia,Marshall,94,71,
Villanova,Alabama,81,58,
Duke,Rhode Island,87,62,
Kentucky,Buffalo,95,75,
Loyola Chicago,Tennessee,63,62,
Gonzaga,Ohio State,90,84,
Kansas,Seton Hall,83,79,
Texas Tech,Florida,69,66,
Michigan,Houston,64,63,
Purdue,CS Fullerton,74,48,
Texas A&M,Providence,73,69,
Marshall,Wichita St,81,75,
Cincinnati,Georgia St,68,53,
North Carolina,Lipscomb,84,66,
Butler,Arkansas,79,62,
Nevada,Texas,87,83,1
West Virginia,Murray St,85,68,
Kansas St,Creighton,69,59,
Auburn,Coll Charleston,62,58,
Michigan State,Bucknell,82,78,
Xavier,TX Southern,102,83,
Clemson,New Mexico St,79,68,
Florida St,Missouri,67,54,
Syracuse,TCU,57,52,
UMBC,Virginia,74,54,
Rhode Island,Oklahoma,83,78,1
Tennessee,Wright St,73,47,
Gonzaga,UNC Greensboro,68,64,
Duke,Iona,89,67,
Kansas,Penn,76,60,
Loyola Chicago,Miami (Fla),64,62,
Ohio State,S Dakota St,81,73,
Seton Hall,NC State,94,83,
Villanova,Radford,87,61,
Houston,San Diego St,67,65,
Kentucky,Davidson,78,73,
Texas Tech,SF Austin,70,60,
Buffalo,Arizona,89,68,
Florida,St. Bonaventure,77,62,
Michigan,Montana,61,47,
Alabama,Virginia Tech,86,83,
