Winner,Loser,Winner Points,Loser points,OTs,Coach Tourney Appearances  Winner,SRS Winner,FG% Winner,RPI Winner,Adj Off Efficiency Winner,Adj Def Efficiency Winner,Adj Off-Def Winner,Strength of Schedule Winner,Win % Winner,Coach sweet 16 appearances Winner,Avg. Scoring margin Winner,Major Conference Winner,Turnovers per game Winner,Wins Last 10 Games  Winner,Coach Record Winner,Seed Winner,Points Allowed Per Game Winner,Coach final four appearance Winner,AP Poll Winner,Won a Major Conference Winner,Rebounds Winner,Coach Tourney Appearances  Loser,SRS Loser,FG% Loser,RPI Loser,Adj Off Efficiency Loser,Adj Def Efficiency Loser,Adj Off-Def Loser,Strength of Schedule Loser,Win % Loser,Coach sweet 16 appearances Loser,Avg. Scoring margin Loser,Major Conference Loser,Turnovers per game Loser,Wins Last 10 Games  Loser,Coach Record Loser,Seed Loser,Points Allowed Per Game Loser,Coach final four appearance Loser,AP Poll Loser,Won a Major Conference Loser,Rebounds Loser
Gonzaga,UNC Greensboro,68,64,0,18,2.62,0.5,0.61,119.8,95.1,24.7,0.51,0.88,8,17.4,0,11.3,10,0.82,4,67.1,1,8,0,39.92,0,4.48,0.45,0.56,105.7,96.6,9.1,0.48,0.79,0,8.8,0,13.8,9,0.51,13,63.3,0,47,0,37.34
Duke,Iona,89,67,0,33,24.95,0.49,0.64,122.6,93.5,29.1,0.58,0.79,24,15.1,1,12.6,7,0.77,2,69.6,12,9,1,41.05,4,0.96,0.46,0.53,110.3,107.4,2.9,0.5,0.61,0,3.7,0,11.7,6,0.67,15,76.2,0,47,0,33.71
Kansas,Penn,76,60,0,19,22.01,0.47,0.66,120.9,97.7,23.2,0.6,0.79,13,10.6,1,11.7,8,0.77,1,70.9,2,4,1,35.59,3,2.25,0.46,0.53,103.6,99.9,3.7,0.45,0.75,1,6.1,0,11.9,8,0.49,16,69.8,0,47,0,37.55
Loyola Chicago,Miami (Fla),64,62,0,0,-0.25,0.51,0.62,111.3,96.2,15.1,0.51,0.85,1,9.7,0,12.2,10,0.51,11,62,0,27,0,32.16,8,13.27,0.46,0.59,113.3,97.6,15.7,0.56,0.71,3,6.1,1,11.3,6,0.61,6,68,1,22,1,34.78
Ohio State,S Dakota St,81,73,0,3,18.1,0.49,0.61,116.2,95,21.2,0.57,0.75,1,9.1,1,11.8,6,0.6,5,66.7,0,17,1,36.62,1,7.11,0.48,0.58,114.6,104,10.6,0.5,0.82,0,7.7,0,10,10,0.67,12,74.1,0,40,0,38.86
Seton Hall,NC State,94,83,0,2,15.49,0.47,0.59,116.3,99,17.3,0.58,0.66,0,5.7,1,12.8,4,0.55,8,73.3,0,36,1,38.29,2,21.29,0.47,0.56,116.4,101.3,15.1,0.55,0.66,0,6.8,1,12.2,6,0.71,9,74.5,0,47,1,35.64
Villanova,Radford,87,61,0,14,25.69,0.5,0.68,127.4,96,31.4,0.59,0.88,6,16.2,1,10.4,8,0.68,1,70.9,2,2,1,35.9,0,-2.8,0.43,0.53,103.6,103.6,0,0.47,0.65,0,2.1,0,12.2,7,0.5,16,64.9,0,47,0,34.56
Houston,San Diego St,67,65,0,14,16.38,0.47,0.61,115.8,95.2,20.6,0.54,0.79,3,12.5,0,12.2,8,0.65,5,64.9,1,21,0,38.63,0,12.49,0.46,0.56,111.3,97.1,14.2,0.53,0.69,0,8.6,0,11.9,9,0.69,11,66.4,0,41,0,37.88
Kentucky,Davidson,78,73,0,18,17.58,0.47,0.62,116.4,96,20.4,0.59,0.71,14,6.4,1,13,7,0.78,5,70.2,4,18,1,38.68,8,11.29,0.49,0.57,117.4,102.5,14.9,0.53,0.66,1,8.9,0,9.6,8,0.62,12,67.9,0,45,0,32.67
Texas Tech,SF Austin,70,60,0,1,19.57,0.46,0.61,114,92.1,21.9,0.56,0.73,1,10.5,1,12.5,5,0.72,3,64.7,0,14,1,36,0,2.76,0.49,0.53,105,99.4,5.6,0.44,0.82,0,9.8,0,15.6,9,0.69,14,68.4,0,47,0,35.66
Buffalo,Arizona,89,68,0,1,7.62,0.47,0.6,114.3,103.8,10.5,0.54,0.77,0,8.2,0,12.5,8,0.62,13,76.5,0,36,0,38.56,10,16.82,0.51,0.61,119,99.6,19.4,0.56,0.79,7,9.7,1,12.3,8,0.75,4,71.2,0,12,1,36.49
Florida,St. Bonaventure,77,62,0,1,16.81,0.43,0.58,115.1,96.4,18.7,0.58,0.63,1,6.6,1,9.8,5,0.69,6,69.4,0,23,1,35.24,1,8.99,0.46,0.6,112.3,101.1,11.2,0.53,0.78,0,6.9,0,11.5,9,0.53,11,71,0,33,0,35.53
Michigan,Montana,61,47,0,11,18.9,0.47,0.64,115.9,92.7,23.2,0.56,0.8,6,10.1,1,9.1,9,0.63,3,63.5,1,7,1,33.34,0,6.56,0.47,0.56,110.1,99.3,10.8,0.47,0.79,0,9.3,0,12.4,8,0.63,14,68.8,0,47,0,37
Alabama,Virginia Tech,86,83,0,0,12.96,0.46,0.58,108.5,94.6,13.9,0.6,0.56,0,2.4,1,14.1,4,0.55,9,70,0,47,1,35.83,6,14.88,0.5,0.56,115,98.4,16.6,0.55,0.66,3,8,1,11.9,5,0.61,8,71.8,0,41,1,32.67
