Team Name,kaggle id,Tournament Wins,seed,points,# of wins in last 10 games,coach tourney appearances,SOS,Offensive Efficiency,Defensive Efficiency,Offensive-Defensive Effiency subtract offensive - defensive efficiency to get this column,Coach Record (overall),SRS (sports ref),FT,turnovers per game,winning %,TRB,AST,points pg,Points Allowed PG,PF,3PA (sports reference),Coaching Final Four Appearances (square root),FGA,Wins Against Tournament Teams (square root),FG%,Average Scoring Margin,Major Conference,Steals,Steals pg,KenPom Sos,True Shoot %,Terry Rank,Defensive Rebounds Per Game,Offensive Rating,Defensive Rating,TSP,Free Throw %,AP Poll,Adj. Off-Def,Strength of Schedule,Turnovers per Game,KenPom AdjEM,3PA/Min,3P%,Sagarin Predictor
Cincinnati,1153,1,2,2532,8,9,3.15,113.2,86.2,27,0.673,20.86,498,11.5,0.882,1323,543,74.5,57.2,535,681,0.00,1926,2.236,0.453,17.3,0,244,,3.18,0.547,6.000,26.25714286,117.9400651,90.78219767,55.29543538,0.687,6,27,0.5564,11.5,27,0.51,0.36,91.4
Clemson,1155,2,5,2345,5,4,9.05,113.8,93.5,20.3,0.614,16.51,461,12.1,0.719,1136,422,73.3,65.8,512,726,0.00,1786,2.646,0.453,7.5,1,182,,9.76,0.565,18.889,26.63636364,113.8295644,101.6472017,57.18265781,0.757,20,20.3,0.5868,12.1,20.27,0.56,0.37,85.53
Coll Charleston,1158,0,13,2478,9,0,-3.79,109.9,105.2,4.7,0.583,1.62,520,9.6,0.788,1089,377,75.1,69.8,540,699,0.00,1854,0.000,0.46,5.4,0,171,,-4.61,0.569,102.111,24.5625,116.9668193,108.0566034,57.43734869,0.759,47,4.7,0.4846,9.6,4.74,0.52,0.36,75.02
Creighton,1166,0,8,2697,4,7,8.08,116.5,99.2,17.3,0.6,16.86,393,11.2,0.656,1161,576,84.3,75.1,480,889,0.00,1982,2.236,0.497,8.8,1,181,,9.23,0.604,30.778,28.6875,120.0516831,107.225519,60.99594014,0.747,39,17.3,0.5593,11.2,17.28,0.69,0.38,86.27
CS Fullerton,1168,0,15,2270,8,0,-1.52,105,103.7,1.3,0.432,-0.53,535,14.1,0.645,1089,396,73.2,71.7,553,482,0.00,1671,0.000,0.47,1,0,198,,-1.28,0.563,160.889,25.66666667,106.7087972,107.0903073,56.6860165,0.734,47,1.3,0.4804,14.1,1.32,0.39,0.34,70.74
Davidson,1172,0,12,2446,8,8,2.06,117.4,102.5,14.9,0.62,11.29,354,9.6,0.656,1050,539,76.4,67.9,481,856,0.00,1763,1.732,0.486,8.9,0,149,,1.88,0.607,76.222,26.06060606,123.2068179,106.8433688,61.13825194,0.797,45,14.9,0.5311,9.6,14.91,0.67,0.39,82.09
Duke,1181,3,2,2795,7,33,9.92,122.6,93.5,29.1,0.765,24.95,505,12.6,0.788,1379,578,84.7,69.6,515,725,3.46,2044,3.000,0.493,15.1,1,248,,10.9,0.587,4.000,28.47058824,125.032403,102.0448524,59.35084291,0.708,9,29.1,0.5845,12.6,29.13,0.55,0.38,94.29
Florida,1196,1,6,2434,5,1,10.2,115.1,96.4,18.7,0.69,16.81,460,9.8,0.625,1124,415,76.1,69.4,552,778,0.00,1937,3.000,0,6.6,1,219,,10.74,0.543,24.111,24.54545455,116.6979649,105.682173,55.20787117,0.719,23,18.7,0.5756,9.8,18.71,0.60,0.38,86.59
Florida St,1199,3,9,2535,4,8,7.69,115.8,100,15.8,0.557,14.97,473,13,0.645,1179,473,81.8,74.5,566,706,0.00,1912,2.449,0.474,7.3,1,208,,7.99,0.566,34.333,26.25,116.7465746,106.3062496,57.52564738,0.685,47,15.8,0.5451,13,15.82,0.56,0.35,85.07
Georgia St,1209,0,15,2561,6,2,-3.4,109,101.8,7.2,0.583,3.42,414,11.4,0.706,1156,452,75.3,68,624,795,0.00,1924,1.000,0.463,6.7,0,238,,-2.79,0.564,130.556,24.84848485,114.2690163,102.8676355,57.03456726,0.676,47,7.2,0.4593,11.4,7.22,0.59,0.39,75.78
