Schl,Opp,PTS,OPP Points,OT
Connecticut,Kentucky,60,54,
Connecticut,Florida,63,53,
Kentucky,Wisconsin,74,73,
Connecticut,Michigan State,60,54,
Kentucky,Michigan,75,72,
Wisconsin,Arizona,64,63,1
Florida,Dayton,62,52,
Connecticut,Iowa State,81,76,
Kentucky,Louisville,74,69,
Michigan,Tennessee,73,71,
Michigan State,Virginia,61,59,
Arizona,San Diego State,70,64,
Wisconsin,Baylor,69,52,
Dayton,Stanford,82,72,
Florida,UCLA,79,68,
Arizona,Gonzaga,84,61,
Baylor,Creighton,85,55,
Iowa State,North Carolina,85,83,
Stanford,Kansas,60,57,
Kentucky,Wichita State,78,76,
Virginia,Memphis,78,60,
Tennessee,Mercer,83,63,
UCLA,Stephen F. Austin,77,60,
Connecticut,Villanova,77,65,
Dayton,Syracuse,55,53,
Florida,Pittsburgh,61,45,
Michigan State,Harvard,80,73,
Louisville,Saint Louis,66,51,
Michigan,Texas,79,65,
San Diego State,North Dakota State,63,44,
Wisconsin,Oregon,85,77,
Arizona,Weber State,68,59,
Baylor,Nebraska,74,60,
Wichita State,Cal Poly,64,37,
Virginia,Coastal Carolina,70,59,
Creighton,LA Lafayette ,76,66,
Mercer,Duke,78,71,
Kansas,Eastern Kentucky,80,69,
Memphis,George Washington,71,66,
Gonzaga,Oklahoma State,85,77,
Iowa State,North Carolina Central,93,75,
Kentucky,Kansas State,56,49,
Tennessee,Massachusetts,86,67,
Stanford,New Mexico,58,53,
North Carolina,Providence,79,77,
Stephen F. Austin,VCU,77,75,1
UCLA,Tulsa,76,59,
Florida,Albany,67,55,
Wisconsin,American,75,35,
Texas,Arizona State,87,85,
Oregon,BYU,87,68,
Harvard,Cincinnati,61,57,
Pittsburgh,Colorado,77,48,
Connecticut,St. Joseph's,89,81,1
Dayton,Ohio State,60,59,
Michigan State,Delaware,93,78,
Louisville,Manhattan,71,64,
Michigan,Wofford,57,40,
Villanova,Milwaukee,73,53,
San Diego State,New Mexico State,73,69,1
Saint Louis,North Carolina State,83,80,1
North Dakota State,Oklahoma,80,75,1
Syracuse,Western Michigan,77,53,
