Team Name,Coach Tourney Appearances ,SRS ,FG%,RPI,Adj Off Efficiency,Adj Def Efficiency,Adj Off-Def,Strength of Schedule,Win %,Coach sweet 16 appearances,Avg. Scoring margin,Major Conference,Turnovers per game,Wins Last 10 Games ,Coach Record,Seed,Points Allowed Per Game,Coach final four appearance,Won a Major Conference,Rebounds
Albany,4,-0.44,0.44,0.531,107.2,103.9,2.5,0.4572,0.75,0,5.3,0,11.7,9,0.564,14,60.2,0,0,33.6
Arizona,7,24.8,0.489,0.6643,119.9,87.5,29.6,0.5713,0.912,5,17.8,1,11.2,10,0.741,2,58.6,0,1,37.3
Arkansas,6,14.75,0.447,0.6089,114.7,98.3,15.3,0.5617,0.765,2,7.9,1,11.7,7,0.554,5,70.1,0,0,35.9
Baylor,4,19,0.434,0.6189,116.6,94.5,20.3,0.6022,0.719,3,8.8,1,12.5,6,0.594,3,60.3,0,0,38.9
Belmont,6,-0.07,0.476,0.5335,110.2,107.9,1.4,0.4703,0.677,0,3.6,0,13.7,7,0.639,15,70.3,0,0,33.3
Boise State,0,10.34,0.458,0.5744,111.9,98.1,12.9,0.5154,0.742,1,8.9,0,10.3,8,0.622,11,60.3,0,0,32.5
Buffalo,2,8.41,0.435,0.5895,111.3,99.4,11.3,0.5412,0.719,0,6.7,0,11.3,8,0.689,12,68.3,0,0,38.4
Butler,0,16.7,0.439,0.5922,110.2,90.1,15.8,0.5672,0.688,0,8.4,1,11.4,6,0.452,6,61.2,0,0,36.8
BYU,7,14.29,0.467,0.5764,119.4,102.7,15.6,0.5451,0.719,1,8.9,1,11.8,8,0.748,11,72.6,0,0,38.7
Cincinnati,6,10.64,0.453,0.5836,108.2,94,13.4,0.5516,0.688,1,5.8,1,12.8,6,0.612,8,55.3,0,0,34.2
Coastal Carolina,9,-1.46,0.439,0.5176,106.7,104.3,1.3,0.4488,0.69,3,10.1,0,11.9,8,0.615,16,61.7,0,0,37.6
Davidson,7,13.14,0.471,0.5787,119.7,104.7,15.4,0.5237,0.767,1,10.1,0,9.6,9,0.625,10,69,0,0,35.7
Dayton,7,10.82,0.463,0.5937,109.2,95,12.4,0.5273,0.758,1,7.3,0,11.5,7,0.657,11,60.9,0,0,31.6
Duke,30,24.14,0.502,0.6818,124.5,92,25.9,0.5881,0.879,21,15,1,11.2,9,0.765,1,65.6,11,0,37.2
Eastern Washington,0,0.61,0.48,0.5509,112.9,109.6,2.3,0.4792,0.742,0,5.1,0,10.8,7,0.685,13,73.6,0,0,33.9
Georgetown,9,16.06,0.455,0.6008,114.3,95.1,16.6,0.5883,0.677,2,6.1,1,12.6,6,0.685,4,64.6,1,0,35.2
Georgia,4,12.4,0.435,0.5759,109.6,94.5,13.1,0.5632,0.656,0,4.2,1,12.8,6,0.639,10,64.2,0,0,38
Georgia State,1,4.96,0.48,0.57,111.6,101.3,9.2,0.4998,0.719,0,8.2,0,10.7,9,0.575,14,62.2,0,0,32.6
Gonzaga,15,21.9,0.524,0.6428,121.7,93.9,26,0.5452,0.939,4,17.1,0,10.6,9,0.81,2,60.9,0,0,37.7
Hampton,1,-9.07,0.408,0.4651,96.6,104,-6.7,0.4346,0.485,0,-0.8,0,14.2,7,0.508,16,68,0,0,37.1
Harvard,4,4.21,0.435,0.5643,104.8,95.6,7.5,0.5064,0.741,1,5,0,11.8,8,0.609,13,57.2,0,0,34.1
Indiana,7,13.38,0.466,0.5608,119.8,106,11.9,0.5687,0.606,3,6.1,1,11.5,4,0.604,10,71.4,1,0,36.2
Iowa,6,15.82,0.427,0.5808,114.2,95.1,16.2,0.566,0.656,0,7.5,1,11.3,7,0.57,7,61.9,0,0,37.7
Iowa State,3,19.16,0.48,0.6219,119,97.5,21.2,0.5916,0.758,1,9.1,1,11,8,0.671,3,69.3,0,1,35.9
Kansas,16,19.56,0.44,0.6607,114.5,91.8,20.3,0.6296,0.765,10,6.5,1,12.8,6,0.755,2,64.7,2,0,38.1
Kentucky,15,29.45,0.469,0.678,121.3,84.4,33.9,0.5707,1,11,20.9,1,10.6,10,0.832,1,54,5,1,38.2
